test_corruption,classification_only,dino_detect
Gaussian blur,96.77161080320225,97.32676937626464
Defocus blur,93.60999384182281,93.23733504882554
Box/radial blur,92.5247591712853,92.81832552564441
Gaussian noise,91.8167733350928,93.66318179818775
Shot noise,91.17742148324096,92.96548341690858
JPEG compression,94.97571478842262,96.03410420515527
