model,corruption,severity_label,severity_value,platform_count,total_samples,macro_accuracy,micro_accuracy,macro_bacc,micro_bacc,macro_real_accuracy,micro_real_accuracy,macro_fake_accuracy,micro_fake_accuracy,macro_f1_score,micro_f1_score
classification_only,gaussian,strength_0.05,0.05,3,2241,0.9694012932172077,0.9754573850959393,0.9694738935686589,0.9758755908809702,0.9744537037037038,0.9829222011385199,0.9644940834336141,0.9688289806234204,0.9720415140902454,0.9766454352441614
classification_only,gaussian,strength_0.10,0.1,3,2241,0.9692485154394298,0.9767960731816153,0.9693211157908812,0.9771392808556963,0.9728148148148148,0.9829222011385199,0.9658274167669475,0.9713563605728728,0.971939287326967,0.9779474130619169
classification_only,gaussian,strength_0.15,0.15,3,2241,0.96449851543943,0.9705488621151271,0.964015393100682,0.9705510679419198,0.9618888888888889,0.9705882352941176,0.9661418973124749,0.970513900589722,0.9673385849412446,0.9721518987341772
classification_only,defocus,strength_0.05,0.05,3,2241,0.9568457376616522,0.963409192324855,0.9563626153229041,0.9631203950449925,0.9495555555555556,0.9582542694497154,0.9631696750902528,0.9679865206402696,0.9599397128559515,0.965546218487395
classification_only,defocus,strength_0.10,0.1,3,2241,0.9429704407495381,0.9455600178491744,0.9402789477202834,0.9439856030462841,0.9112592592592592,0.9174573055028463,0.9692986361813077,0.970513900589722,0.9477898151746772,0.9497114591920858
classification_only,defocus,strength_0.15,0.15,3,2241,0.9084836368434943,0.9040606871932173,0.9037883741141863,0.9004526423989168,0.8439259259259259,0.8396584440227703,0.9636508223024469,0.9612468407750632,0.9180295059801122,0.9138966760112135
classification_only,box,strength_0.05,0.05,3,2241,0.9490817498020586,0.9522534582775547,0.947121540312876,0.9511545058820332,0.9286666666666666,0.9326375711574952,0.9655764139590853,0.9696714406065712,0.9528505728448446,0.9555832295558323
classification_only,box,strength_0.10,0.1,3,2241,0.9125390934283453,0.9018295403837573,0.9074781889290012,0.8977618060295836,0.8453611111111111,0.8292220113851992,0.9695952667468912,0.966301600673968,0.922102851462327,0.9124900556881463
classification_only,box,strength_0.15,0.15,3,2241,0.8563428675112167,0.8424810352521196,0.8447004111512234,0.8353066666240374,0.7251388888888889,0.7144212523719166,0.9642619334135579,0.9561920808761584,0.877967549548496,0.8654212733511246
classification_only,radial,strength_0.05,0.05,3,2241,0.959943058854579,0.965194109772423,0.9598255782858671,0.9652305414923531,0.961537037037037,0.9658444022770398,0.9581141195346973,0.9646166807076664,0.9624250047646274,0.9670608108108109
classification_only,radial,strength_0.10,0.1,3,2241,0.9479980205859065,0.9513609995537706,0.9462424120871775,0.9504183525191472,0.9293240740740741,0.9345351043643264,0.9631607501002808,0.966301600673968,0.9524146350885162,0.9546400332917186
classification_only,radial,strength_0.15,0.15,3,2241,0.9255807600950119,0.9263721552878179,0.9221870236662655,0.9242781141045706,0.8871666666666668,0.8889943074003795,0.9572073806658644,0.9595619208087616,0.9325310343887279,0.9324600900532133
classification_only,gaussian_noise,sigma_0.02,0.02,3,2241,0.9606094286091317,0.9683177153056671,0.9621736361813077,0.969454830876558,0.9857777777777779,0.9886148007590133,0.9385694945848376,0.9502948609941028,0.9627556926387585,0.9694886119467125
classification_only,gaussian_noise,sigma_0.05,0.05,3,2241,0.9206634006334125,0.9393128067826862,0.925268902928199,0.9424469545950837,0.9921666666666665,0.9952561669829222,0.8583711391897313,0.8896377422072451,0.9202474251426116,0.9395017793594306
classification_only,gaussian_noise,sigma_0.10,0.1,3,2241,0.8732303708102401,0.9022757697456493,0.8831436187993047,0.9074848652943255,0.994037037037037,0.9952561669829222,0.7722502005615723,0.8197135636057288,0.8669128481581311,0.8988452655889145
